Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Target,Failure Type
-0.9514166340989969,-0.9463563916392268,0.25396825396825395,0.2830544192774011,-0.9908256880733946,0,0
-0.9014278130978683,-0.8789535728809053,-0.5026455026455027,0.6342377259674549,-0.963302752293578,0,0
-0.9514166340989969,-1.0137592103975868,-0.026455026455026454,0.9452857976072169,-0.944954128440367,0,0
-0.9014278130978683,-0.9463563916392268,-0.37037037037037035,-0.04806126988750638,-0.926605504587156,0,0
-0.9014278130978683,-0.8789535728809053,-0.5026455026455027,0.002107773925358439,-0.908256880733945,0,0
-0.9514166340989969,-0.9463563916392268,-0.4126984126984127,0.1927501404142446,-0.8899082568807339,0,0
-0.9514166340989969,-0.9463563916392268,0.291005291005291,0.24291918422710942,-0.8623853211009175,0,0
-0.9514166340989969,-0.9463563916392268,0.12698412698412698,0.02217539145050465,-0.8440366972477065,0,0
-0.8514389920967113,-0.8789535728809053,0.8677248677248677,-1.1417464250079592,-0.8256880733944955,0,0
-0.7514613500944256,-0.6767451166058639,1.2592592592592593,-1.201949277583397,-0.7981651376146789,0,0
-0.8014501710955827,-0.7441479353642237,1.4761904761904763,-1.6133354368488888,-0.7706422018348624,0,0
-0.7014725290932686,-0.609342297847504,-0.42328042328042326,0.43356155071599556,-0.7247706422018348,0,0
-0.7014725290932686,-0.609342297847504,-0.8677248677248677,1.1158605465709575,-0.6788990825688074,0,0
-0.7014725290932686,-0.5419394790891824,1.2645502645502646,-1.001273102331938,-0.6513761467889908,0,0
-0.7014725290932686,-0.5419394790891824,2.814814814814815,-2.044789213639526,-0.6238532110091743,0,0
-0.7014725290932686,-0.5419394790891824,0.20634920634920634,0.8449477099814872,-0.6055045871559633,0,0
-0.7014725290932686,-0.5419394790891824,-1.0158730158730158,0.6643391522551741,-0.5871559633027523,0,0
-0.6514837080921401,-0.5419394790891824,-0.49206349206349204,0.5640010646294445,-0.5596330275229358,0,0
-0.601494887090983,-0.5419394790891824,-1.0423280423280423,1.4570100444984382,-0.5321100917431193,0,0
-0.5515060660898544,-0.47453666033082254,0.6825396825396826,-0.7504278832676138,-0.48623853211009177,0,0
-0.5515060660898544,-0.47453666033082254,-0.6772486772486772,0.27302061051482873,-0.45871559633027525,0,0
-0.601494887090983,-0.47453666033082254,-0.2804232804232804,0.48373059452886036,-0.41284403669724773,0,0
-0.5515060660898544,-0.47453666033082254,0.4126984126984127,-0.9310364409939272,-0.3944954128440367,0,0
-0.5015172450886974,-0.407133841572501,1.3492063492063493,-1.4327268791225753,-0.3669724770642202,0,0
-0.5015172450886974,-0.407133841572501,0.30687830687830686,-0.26880506266411186,-0.3486238532110092,0,0
-0.5015172450886974,-0.3397310228141411,1.8941798941798942,-1.6735382894243263,-0.3211009174311927,0,0
-0.45152842408754035,-0.3397310228141411,0.047619047619047616,-0.09823031370037119,-0.30275229357798167,0,0
-0.45152842408754035,-0.407133841572501,1.6296296296296295,-1.5430987755108778,-0.28440366972477066,0,0
-0.45152842408754035,-0.407133841572501,-0.3386243386243386,0.4235277419534232,-0.23853211009174313,0,0
-0.5015172450886974,-0.407133841572501,1.0052910052910053,-0.9912392935693648,-0.22018348623853212,0,0
-0.45152842408754035,-0.3397310228141411,-0.8677248677248677,0.8248800924563418,-0.2018348623853211,0,0
-0.5015172450886974,-0.407133841572501,1.560846560846561,-1.4527944966477213,-0.1743119266055046,0,0
-0.5015172450886974,-0.407133841572501,-0.4444444444444444,0.8349139012189141,-0.1559633027522936,0,0
-0.5515060660898544,-0.47453666033082254,0.8571428571428571,-0.7504278832676138,-0.13761467889908258,0,0
-0.601494887090983,-0.609342297847504,0.2962962962962963,-0.5296840904910083,-0.11926605504587157,0,0
-0.601494887090983,-0.5419394790891824,-0.2698412698412698,0.8650153275066335,-0.09174311926605505,0,0
-0.5515060660898544,-0.5419394790891824,0.4126984126984127,-0.32900791523954903,-0.06422018348623854,0,0
-0.601494887090983,-0.609342297847504,-0.3386243386243386,-0.07816269617522498,-0.03669724770642202,0,0
-0.5515060660898544,-0.5419394790891824,-0.656084656084656,1.0757253115206658,-0.01834862385321101,0,0
-0.601494887090983,-0.609342297847504,-0.8095238095238095,1.2563338692469788,0.027522935779816515,0,0
-0.601494887090983,-0.609342297847504,-0.746031746031746,0.5439334471042983,0.045871559633027525,0,0
-0.601494887090983,-0.609342297847504,-0.7142857142857143,1.0857591202832382,0.06422018348623854,0,0
-0.601494887090983,-0.609342297847504,-0.7142857142857143,0.9151843713194983,0.08256880733944955,0,0
-0.601494887090983,-0.5419394790891824,-0.6931216931216931,0.8549815187440603,0.11009174311926606,0,0
-0.601494887090983,-0.609342297847504,-0.164021164021164,0.7546434311183307,0.1559633027522936,0,0
-0.601494887090983,-0.609342297847504,-0.07407407407407407,0.9151843713194983,0.1834862385321101,0,0
-0.6514837080921401,-0.6767451166058639,1.7989417989417988,-1.4226930703600023,0.2018348623853211,0,0
-0.601494887090983,-0.609342297847504,-0.4497354497354497,0.6342377259674549,0.22935779816513763,0,0
